Latitude (decimal degrees):,48006,,,,,,,,,,
Longitude (decimal degrees):,8038,,,,,,,,,,
Elevation (m):,595,,,,,,,,,,
Radiation database:,PVGIS-SARAH,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Slope: 0-90 deg. ,,,,,,,,,,,
Azimuth: 0 deg. ,,,,,,,,,,,
time,G(0),G(15),G(30),G(45),G(60),G(75),G(90),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,4.37,0.0
20140101:0110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,3.87,0.0
20140101:0210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,3.36,0.0
20140101:0310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,2.86,0.0
20140101:0410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,2.72,0.0
20140101:0510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,2.58,0.0
20140101:0610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,2.44,0.0
20140101:0710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,2.54,0.0
20140101:0810,40.0,38.97,36.2,32.2,27.53,22.72,18.24,5.99,3.95,2.63,0.0
20140101:0910,50.0,48.72,45.25,40.25,34.41,28.4,22.8,12.31,4.28,2.73,0.0
20140101:1010,118.0,114.98,106.8,95.0,81.21,67.03,53.81,16.72,4.93,2.8,0.0
20140101:1110,299.01,481.42,636.34,752.46,821.22,837.46,799.77,18.84,5.59,2.86,0.0
20140101:1210,300.01,492.61,656.46,779.73,853.45,872.15,834.3,18.43,6.25,2.92,0.0
20140101:1310,224.01,358.01,472.65,559.46,611.96,626.16,600.81,15.56,5.74,3.01,0.0
20140101:1410,133.01,222.19,299.69,359.84,398.24,412.01,400.08,10.49,5.24,3.09,0.0
20140101:1510,20.0,19.49,18.1,16.1,13.77,11.36,9.12,3.66,4.73,3.17,0.0
20140101:1610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,3.41,0.0
20140101:1710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,3.65,0.0
20140101:1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,3.89,0.0
20140101:1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,3.85,0.0
20140101:2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,3.81,0.0
20140101:2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,3.77,0.0
20140101:2210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,3.38,0.0
20140101:2310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,2.99,0.0
20140102:0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,2.61,0.0
20140102:0110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,2.88,0.0
20140102:0210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,3.15,0.0
20140102:0310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,3.42,0.0
20140102:0410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.33,0.0
20140102:0510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.25,0.0
20140102:0610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,3.16,0.0
20140102:0710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.39,0.0
20140102:0810,34.0,33.13,30.77,27.37,23.4,19.31,15.5,6.01,3.96,3.62,0.0
20140102:0910,65.0,63.33,58.83,52.33,44.74,36.92,29.64,12.35,4.34,3.85,0.0
20140102:1010,109.0,106.21,98.65,87.75,75.02,61.92,49.7,16.78,4.74,4.06,0.0
20140102:1110,35.0,34.52,33.11,30.87,27.96,24.57,20.95,18.92,5.14,4.28,0.0
20140102:1210,59.0,58.19,55.81,52.04,47.13,41.42,35.31,18.53,5.55,4.5,0.0
20140102:1310,93.0,92.76,89.95,84.77,77.57,68.85,59.19,15.67,5.57,4.17,0.0
20140102:1410,14.0,13.81,13.24,12.35,11.18,9.83,8.38,10.61,5.6,3.83,0.0
20140102:1510,4.0,3.9,3.62,3.22,2.75,2.27,1.82,3.79,5.63,3.5,0.0
20140102:1610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,3.38,0.0
20140102:1710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,3.26,0.0
20140102:1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,3.14,0.0
20140102:1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,3.04,0.0
20140102:2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,2.94,0.0
20140102:2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,2.84,0.0
