"Anz.","time","temp","humidity","wind","gust","rain"
1,06.07.20 12:58:11 PM,14.314,78.400,0.00,2.01,
2,06.07.20 12:59:11 PM,14.218,79.700,0.00,0.50,0.00
3,06.07.20 01:00:11 PM,14.074,79.500,0.00,1.01,0.00
4,06.07.20 01:01:11 PM,13.882,78.800,0.00,1.01,0.00
5,06.07.20 01:02:11 PM,13.690,80.800,0.00,1.01,0.00
6,06.07.20 01:03:11 PM,13.594,80.700,0.00,0.50,0.00
7,06.07.20 01:04:11 PM,13.570,78.800,0.00,0.00,0.00
8,06.07.20 01:05:11 PM,13.642,79.600,0.00,0.00,0.00
9,06.07.20 01:06:11 PM,13.714,79.800,0.00,1.01,0.00
10,06.07.20 01:07:11 PM,13.834,80.300,0.00,1.01,0.00
11,06.07.20 01:08:11 PM,13.906,76.600,0.00,1.01,0.00
12,06.07.20 01:09:11 PM,13.978,76.500,0.00,1.01,0.00
13,06.07.20 01:10:11 PM,14.026,76.400,0.00,0.50,0.00
14,06.07.20 01:11:11 PM,14.074,78.000,0.00,0.00,0.00
15,06.07.20 01:12:11 PM,14.146,80.700,0.00,0.00,0.00
16,06.07.20 01:13:11 PM,14.194,79.900,0.00,0.50,0.00
17,06.07.20 01:14:11 PM,14.170,78.900,0.00,0.50,0.00
18,06.07.20 01:15:11 PM,14.170,75.400,0.00,0.00,0.00
19,06.07.20 01:16:11 PM,14.170,76.300,0.00,0.00,0.00
20,06.07.20 01:17:11 PM,14.242,77.900,0.00,0.00,0.00
21,06.07.20 01:18:11 PM,14.314,77.900,0.00,0.00,0.00
22,06.07.20 01:19:11 PM,14.337,76.700,0.00,1.01,0.00
23,06.07.20 01:20:11 PM,14.385,78.200,0.00,0.00,0.00
24,06.07.20 01:21:11 PM,14.337,76.500,0.50,2.01,0.00
25,06.07.20 01:22:11 PM,14.122,74.700,1.01,1.51,0.00
26,06.07.20 01:23:11 PM,13.978,76.100,0.00,1.01,0.00
27,06.07.20 01:24:11 PM,13.882,76.500,0.00,1.01,0.00
28,06.07.20 01:25:11 PM,13.810,76.300,0.00,1.01,0.00
29,06.07.20 01:26:11 PM,13.738,75.600,0.00,0.50,0.00
30,06.07.20 01:27:11 PM,13.666,75.600,0.50,1.51,0.00
31,06.07.20 01:28:11 PM,13.642,75.500,0.00,1.01,0.00
32,06.07.20 01:29:11 PM,13.666,76.200,0.00,1.01,0.00
33,06.07.20 01:30:11 PM,13.810,75.300,0.00,1.01,0.00
34,06.07.20 01:31:11 PM,14.026,75.900,0.00,1.51,0.00
35,06.07.20 01:32:11 PM,14.170,75.800,0.50,2.52,0.00
36,06.07.20 01:33:11 PM,14.266,74.700,0.00,1.51,0.00
37,06.07.20 01:34:11 PM,14.337,73.300,0.00,0.50,0.00
38,06.07.20 01:35:11 PM,14.409,72.900,0.50,1.51,0.00
39,06.07.20 01:36:11 PM,14.481,74.200,0.50,1.51,0.00
40,06.07.20 01:37:11 PM,14.505,72.600,0.50,1.51,0.00
41,06.07.20 01:38:11 PM,14.553,73.400,0.00,0.50,0.00
42,06.07.20 01:39:11 PM,14.625,72.600,0.00,0.50,0.00
43,06.07.20 01:40:11 PM,14.721,72.200,0.00,0.50,0.00
44,06.07.20 01:41:11 PM,14.840,71.300,0.00,0.50,0.00
45,06.07.20 01:42:11 PM,14.960,72.400,0.00,0.50,0.00
46,06.07.20 01:43:11 PM,15.055,74.200,0.50,1.51,0.00
47,06.07.20 01:44:11 PM,14.960,72.400,0.50,1.51,0.00
48,06.07.20 01:45:11 PM,14.792,71.500,0.50,1.51,0.00
49,06.07.20 01:46:11 PM,14.673,73.300,1.01,1.51,0.00
50,06.07.20 01:47:11 PM,14.577,71.400,0.50,1.51,0.00
51,06.07.20 01:48:11 PM,14.577,69.300,0.00,0.50,0.00
52,06.07.20 01:49:11 PM,14.673,68.000,0.00,1.51,0.00
53,06.07.20 01:50:11 PM,14.816,67.000,0.50,1.51,0.00
54,06.07.20 01:51:11 PM,15.175,65.100,0.00,0.50,0.00
55,06.07.20 01:52:11 PM,15.461,64.200,0.00,0.00,0.00
56,06.07.20 01:53:11 PM,15.843,66.100,0.00,1.01,0.00
57,06.07.20 01:54:11 PM,16.201,67.500,0.00,1.01,0.00
58,06.07.20 01:55:11 PM,16.511,66.500,0.00,1.01,0.00
59,06.07.20 01:56:11 PM,16.820,65.300,0.00,0.00,0.00
60,06.07.20 01:57:11 PM,17.130,65.800,0.00,1.01,0.00
61,06.07.20 01:58:11 PM,17.249,66.100,0.00,1.01,0.00
62,06.07.20 01:59:11 PM,17.082,62.900,0.00,1.01,0.00
63,06.07.20 02:00:11 PM,16.820,62.000,0.00,0.50,0.00
64,06.07.20 02:01:11 PM,16.534,65.500,0.50,2.01,0.00
65,06.07.20 02:02:11 PM,16.201,65.200,0.50,2.52,0.00
66,06.07.20 02:03:11 PM,16.272,64.100,0.00,0.00,0.00
67,06.07.20 02:04:11 PM,16.463,61.200,0.00,0.00,0.00
68,06.07.20 02:05:11 PM,16.630,60.600,0.00,0.00,0.00
69,06.07.20 02:06:11 PM,16.796,62.200,0.00,0.50,0.00
70,06.07.20 02:07:11 PM,17.011,61.300,0.00,0.00,0.00
71,06.07.20 02:08:11 PM,17.011,61.500,0.50,1.51,0.00
72,06.07.20 02:09:11 PM,16.915,61.000,1.01,2.01,0.00
73,06.07.20 02:10:11 PM,16.868,59.500,0.50,2.01,0.00
74,06.07.20 02:11:11 PM,16.677,58.900,0.50,2.01,0.00
75,06.07.20 02:12:11 PM,16.487,61.500,0.00,1.01,0.00
76,06.07.20 02:13:11 PM,16.153,63.200,1.01,2.52,0.00
77,06.07.20 02:14:11 PM,15.819,62.100,0.50,1.51,0.00
78,06.07.20 02:15:11 PM,15.748,61.700,0.00,0.50,0.00
79,06.07.20 02:16:11 PM,15.939,60.900,0.00,0.50,0.00
80,06.07.20 02:17:11 PM,16.201,60.600,0.00,0.50,0.00
81,06.07.20 02:18:11 PM,16.511,59.400,0.00,0.50,0.00
82,06.07.20 02:19:11 PM,16.844,60.600,0.00,0.50,0.00
83,06.07.20 02:20:11 PM,17.201,59.700,0.00,0.00,0.00
